ID2,Latitude,Longitude,TopDepth,BottomDepth,Horizon,c1998,c2008,c2015,n1998,n2008,n2015,d13C1998,d13C2008,d13C2015,pH1998,pH2008,pH2015,BD1998,BD2008,BD2015,CN1998,CN2008,CN2015
326,46.782391999929814,-117.08391499999608,141,153,Bwb,0.3148,0.27957,0.30066355335610234,0.02869,0.04722,0.03780232801282499,,,-24.064434399999996,6.39,6.55,7.08,1.6756185616372605,1.6756185616372605,1.6756185616372605,10.972464273265947,5.920584498094028,7.953572416336313
328,46.78237599993534,-117.08307900000428,0,10,Ap,2.1923,3.6675220588235296,2.4090327845245523,0.15389,0.2394629411764706,0.22637930206883308,,,-26.573545600000003,5.17,5.22,4.8,1.2771322266500176,0.9017004703207593,1.128,14.245889921372408,15.315614352705932,10.641577045732122
328,46.78237599993534,-117.08307900000428,10,20,Ap-A,2.2972,2.1102,1.93439245979692,0.14993,0.17522,0.16202983044259825,,,-26.088149899999998,5.19,5.08,4.9,1.2771322266500176,1.2771322266500176,1.222,15.321816847862335,12.043145759616483,11.938495859144965
328,46.78237599993534,-117.08307900000428,20,30,A,1.8901,1.6309,1.476178536498622,0.13116,0.15287,0.13698186182982128,,,-25.328694199999997,5.81,5.64,5.82,1.2903828383543685,1.2903828383543685,1.154,14.410643488868557,10.668541898345,10.776452566636486
328,46.78237599993534,-117.08307900000428,30,52,A,1.1519,0.91939,0.8314243527906289,0.10339,0.09531,0.08496702431341667,,,-24.969517299999993,6.09,6.03,6.24,1.2690252422438968,1.2690252422438968,1.2690252422438968,11.141309604410484,9.646312034414017,9.785259157997173
328,46.78237599993534,-117.08307900000428,52,84,Bw1,0.61432,0.56039,0.4044408609227934,0.07018,0.05975,0.04762456394392154,,,-24.78122859999999,6.44,6.48,6.55,1.4443394661037583,1.4443394661037583,1.4443394661037583,8.753491023083498,9.378912133891214,8.49227431035436
328,46.78237599993534,-117.08307900000428,84,127,Bw2,0.42093,0.33064,0.2544080301990391,0.05293,0.04578,0.035013345534965296,,,-24.500338899999996,6.74,6.81,7.16,1.4627905133711285,1.4627905133711285,1.4627905133711285,7.952578877763084,7.222367846221057,7.26603031821053
328,46.78237599993534,-117.08307900000428,127,153,Bwb,0.3776,0.30466,0.2271102220444089,0.05309,0.04711,0.0333002600520104,,,-24.58367979999999,6.8,6.95,7.65,1.3891183911116072,1.3891183911116072,1.3891183911116072,7.1124505556602,6.46699214604118,6.820073527644953
330,46.78248199993588,-117.0822430000039,0,10,Ap1,1.7888,4.843006818181818,2.193887995459275,0.12756,0.2903561363636364,0.18430422854980605,,,-26.503060999999995,4.59,4.8,4.61,1.227474614154591,0.7938207991376324,1.1255888632072975,14.023204766384445,16.67954009457038,11.903622682571294
330,46.78248199993588,-117.0822430000039,10,20,Ap1-Ap2,1.8496,1.7193,1.5403750378935515,0.11655,0.15491,0.13813780260707634,,,-25.895431099999996,5.21,5.15,4.93,1.227474614154591,1.295466211644295,1.2935582334985973,15.869583869583868,11.098702472403332,11.151002903057929
