ID2,Latitude,Longitude,TopDepth,BottomDepth,1998,2008,2015
19,46.778826619173316,-117.08846626321171,82,110,1.6661129631863663,1.604539687081165,NA
19,46.778826619173316,-117.08846626321171,83,110,NA,NA,1.604539687081165
19,46.778826619173316,-117.08846626321171,110,127,1.6035011332490945,1.5979247426806888,1.5979247426806888
19,46.778826619173316,-117.08846626321171,127,153,1.636818788575082,1.7478254130270696,1.7478254130270696
21,46.77884199993136,-117.08764599999684,0,10,1.3323395426348021,1.2084916258097105,1.215396016020608
21,46.77884199993136,-117.08764599999684,10,20,1.3323395426348021,1.4605429691963732,1.4020678582140904
21,46.77884199993136,-117.08764599999684,20,30,1.3323395426348021,1.3323395426348021,1.282619051819962
21,46.77884199993136,-117.08764599999684,30,49,1.3008510321319724,1.3008510321319724,1.3008510321319724
21,46.77884199993136,-117.08764599999684,49,69,1.2528387352176147,1.2528387352176147,1.2528387352176147
21,46.77884199993136,-117.08764599999684,69,114,1.2708576785772303,1.2708576785772303,1.2708576785772303
21,46.77884199993136,-117.08764599999684,114,153,1.4341243946410558,1.4341243946410558,1.4341243946410558
23,46.77900277872108,-117.08683096836633,0,10,1.4308403408442805,1.2569216096713456,1.2567708241438327
23,46.77900277872108,-117.08683096836633,10,20,1.4308403408442805,1.4474825096167454,1.3613105845404663
23,46.77900277872108,-117.08683096836633,20,30,1.4308403408442805,1.4308403408442805,1.339167563561939
23,46.77900277872108,-117.08683096836633,30,37,1.4016164077194064,1.4016164077194064,1.4016164077194064
23,46.77900277872108,-117.08683096836633,37,59,1.515226633861169,1.515226633861169,1.515226633861169
23,46.77900277872108,-117.08683096836633,59,79,1.5222927579759857,1.5222927579759857,1.5222927579759857
23,46.77900277872108,-117.08683096836633,79,122,1.5942758468771743,1.5942758468771743,1.5942758468771743
23,46.77900277872108,-117.08683096836633,122,153,1.6362433334295183,1.6362433334295183,1.6362433334295183
25,46.77904699993503,-117.08597400000059,0,10,1.340012025890818,0.884749139335572,0.9974063553116785
25,46.77904699993503,-117.08597400000059,10,20,1.340012025890818,1.3494588164728003,1.3502831836547453
25,46.77904699993503,-117.08597400000059,20,30,1.340012025890818,1.340012025890818,1.2832365862695627
25,46.77904699993503,-117.08597400000059,30,33,1.3360792598539786,1.3360792598539786,1.3360792598539786
25,46.77904699993503,-117.08597400000059,33,58,1.4216363832504166,1.4216363832504166,1.4216363832504166
25,46.77904699993503,-117.08597400000059,58,88,1.5791457992173727,1.5791457992173727,1.5791457992173727
25,46.77904699993503,-117.08597400000059,88,106,1.584659256137928,1.584659256137928,1.584659256137928
25,46.77904699993503,-117.08597400000059,106,153,1.6480289018145635,1.6480289018145635,1.6480289018145635
27,46.77906281906668,-117.08511703761206,0,10,1.273464228595378,0.993411611189477,1.1281472202127847
27,46.77906281906668,-117.08511703761206,10,20,1.273464228595378,1.2886935837723985,1.273267815868871
27,46.77906281906668,-117.08511703761206,20,30,1.273464228595378,1.273464228595378,1.3155248160629534
27,46.77906281906668,-117.08511703761206,30,41,1.3809137675947731,1.3809137675947731,1.3809137675947731
27,46.77906281906668,-117.08511703761206,41,62,1.3821700294128636,1.3821700294128636,1.3821700294128636
27,46.77906281906668,-117.08511703761206,62,96,1.3456553127281703,1.3456553127281703,1.3456553127281703
27,46.77906281906668,-117.08511703761206,96,128,1.296442585532438,1.296442585532438,1.296442585532438
27,46.77906281906668,-117.08511703761206,128,153,1.281134594700893,1.281134594700893,1.281134594700893
29,46.7790069999304,-117.08430200000468,0,10,1.3293190216669446,1.082063386654465,1.1779910722162432
29,46.7790069999304,-117.08430200000468,10,20,1.3293190216669446,1.386670209492671,1.3600755156412654
29,46.7790069999304,-117.08430200000468,20,30,1.3293190216669446,1.3293190216669446,1.3158776928912965
29,46.7790069999304,-117.08430200000468,30,50,1.37,1.37,1.37
29,46.7790069999304,-117.08430200000468,50,68,1.500073715122376,1.500073715122376,1.500073715122376
29,46.7790069999304,-117.08430200000468,68,92,1.3731119646577667,1.3731119646577667,1.3731119646577667
29,46.7790069999304,-117.08430200000468,92,132,NA,NA,1.45
29,46.7790069999304,-117.08430200000468,92,137,1.45,1.45,NA
29,46.7790069999304,-117.08430200000468,132,153,NA,NA,1.5294337523131245
29,46.7790069999304,-117.08430200000468,137,153,1.5294337523131245,1.5294337523131245,NA
31,46.77902299993373,-117.08346599999622,0,10,1.347455266705873,0.7978173368477052,1.2042803959278012
31,46.77902299993373,-117.08346599999622,10,20,1.347455266705873,1.395057669860819,1.3664272985514405
31,46.77902299993373,-117.08346599999622,20,30,1.347455266705873,1.347455266705873,1.3754256576741888
31,46.77902299993373,-117.08346599999622,30,40,1.3441158835196003,1.3441158835196003,1.3441158835196003
31,46.77902299993373,-117.08346599999622,40,57,1.4214140986444905,1.4214140986444905,1.4214140986444905
31,46.77902299993373,-117.08346599999622,57,88,1.4764380337061143,1.4764380337061143,1.4764380337061143
31,46.77902299993373,-117.08346599999622,88,127,1.6366234719059403,1.6366234719059403,1.6366234719059403
31,46.77902299993373,-117.08346599999622,127,153,1.623464853728706,1.623464853728706,1.623464853728706
33,46.7790129999361,-117.08263000000014,0,10,1.3282207404356081,1.2863331275464969,1.2399209555904513
33,46.7790129999361,-117.08263000000014,10,20,1.3282207404356081,1.356647884322891,1.3214355029376998
33,46.7790129999361,-117.08263000000014,20,30,1.3282207404356081,1.3282207404356081,1.2592409619422342
33,46.7790129999361,-117.08263000000014,30,41,NA,NA,1.3380530094143217
33,46.7790129999361,-117.08263000000014,30,59,1.3380530094143217,1.3380530094143217,NA
33,46.7790129999361,-117.08263000000014,41,76,NA,NA,1.4046557265396036
33,46.7790129999361,-117.08263000000014,59,96,1.4046557265396036,1.4046557265396036,NA
33,46.7790129999361,-117.08263000000014,76,135,NA,NA,1.5093142332165161
33,46.7790129999361,-117.08263000000014,96,135,1.5093142332165161,1.5093142332165161,NA
33,46.7790129999361,-117.08263000000014,135,153,1.5040768848275183,1.5040768848275183,1.5040768848275183
35,46.778851999935846,-117.08179400000537,0,10,1.4253166065170912,0.9773435104259703,1.2249236903858707
35,46.778851999935846,-117.08179400000537,10,20,1.4253166065170912,1.5120825047677486,1.4245637560209607
35,46.778851999935846,-117.08179400000537,20,30,1.4253166065170912,1.4253166065170912,1.426504578576848
35,46.778851999935846,-117.08179400000537,30,45,1.4157337750447931,1.4157337750447931,1.4157337750447931
35,46.778851999935846,-117.08179400000537,45,70,1.4267492903771286,1.4267492903771286,1.4267492903771286
35,46.778851999935846,-117.08179400000537,70,87,1.820066026244715,1.820066026244715,1.820066026244715
35,46.778851999935846,-117.08179400000537,87,121,1.6068318210562895,1.6068318210562895,1.6068318210562895
35,46.778851999935846,-117.08179400000537,121,153,1.606292822209316,1.606292822209316,1.606292822209316
37,46.7789929999345,-117.08095799999668,0,10,1.4001628126170156,1.0058487454208844,1.2851774088254495
37,46.7789929999345,-117.08095799999668,10,20,1.4001628126170156,1.4089733440184071,1.383277167104822
37,46.7789929999345,-117.08095799999668,20,30,1.4001628126170156,1.4001628126170156,1.4285336203398205
37,46.7789929999345,-117.08095799999668,30,42,1.4519333723043584,1.4519333723043584,NA
37,46.7789929999345,-117.08095799999668,30,55,NA,NA,1.4519333723043584
37,46.7789929999345,-117.08095799999668,42,69,1.3756557799067795,1.3756557799067795,NA
37,46.7789929999345,-117.08095799999668,55,68,NA,NA,1.3756557799067795
37,46.7789929999345,-117.08095799999668,68,97,NA,NA,1.6054483808223083
37,46.7789929999345,-117.08095799999668,69,98,1.6054483808223083,1.6054483808223083,NA
37,46.7789929999345,-117.08095799999668,97,139,NA,NA,1.6764552433805107
37,46.7789929999345,-117.08095799999668,98,140,1.6764552433805107,1.6764552433805107,NA
37,46.7789929999345,-117.08095799999668,139,153,NA,NA,1.7333449471503015
37,46.7789929999345,-117.08095799999668,140,153,1.7333449471503015,1.7333449471503015,NA
39,46.77911199993587,-117.08012199999722,0,10,1.5323952323303527,1.1250336221726362,1.1535543518534854
39,46.77911199993587,-117.08012199999722,10,20,1.5323952323303527,1.3522584216958955,1.3379324946627378
39,46.77911199993587,-117.08012199999722,20,30,1.5323952323303527,1.5999888433840153,1.4250048520563898
39,46.77911199993587,-117.08012199999722,30,35,NA,NA,1.5022201502989196
39,46.77911199993587,-117.08012199999722,30,38,1.5022201502989196,1.5022201502989196,NA
39,46.77911199993587,-117.08012199999722,35,54,NA,NA,1.5326596656294513
39,46.77911199993587,-117.08012199999722,38,54,1.5326596656294513,1.5326596656294513,NA
39,46.77911199993587,-117.08012199999722,54,78,1.558044879486495,1.558044879486495,1.558044879486495
39,46.77911199993587,-117.08012199999722,78,123,1.6562597588670593,1.6562597588670593,1.6562597588670593
39,46.77911199993587,-117.08012199999722,123,153,1.7152694642506185,1.7152694642506185,1.7152694642506185
41,46.77904699992864,-117.0792860000058,0,10,1.2,1.0535250309311437,1.215
