ID2,Latitude,Longitude,TopDepth,BottomDepth,Horizon1998,pH1998,Horizon2008,pH2008,Horizon2015,pH2015
37,46.7789929999345,-117.08095799999668,0,10,Ap,5.83,Ap,5.46,Ap,5.52
37,46.7789929999345,-117.08095799999668,10,20,A,6.1,Ap-A,5.94,Ap-A,5.94
37,46.7789929999345,-117.08095799999668,20,30,A,6.49,A-AE,6.57,A,6.77
37,46.7789929999345,-117.08095799999668,30,42,AE,6.65,AE,6.77,,
37,46.7789929999345,-117.08095799999668,42,69,Bw,6.8,Bw,7.59,,
37,46.7789929999345,-117.08095799999668,69,98,Btk1,7.73,Btk1,7.64,,
37,46.7789929999345,-117.08095799999668,98,140,Btk2,7.66,Btk2,7.57,,
37,46.7789929999345,-117.08095799999668,140,153,Btb,7.62,Btb,7.44,,
37,46.7789929999345,-117.08095799999668,30,55,,,,,AE,6.83
37,46.7789929999345,-117.08095799999668,55,68,,,,,Bw,7.05
37,46.7789929999345,-117.08095799999668,68,97,,,,,Btk1,7.55
37,46.7789929999345,-117.08095799999668,97,139,,,,,Btk2,7.98
37,46.7789929999345,-117.08095799999668,139,153,,,,,Btb,7.94
39,46.77911199993587,-117.08012199999722,0,10,Ap,5.75,Ap,5.99,Ap,5.36
39,46.77911199993587,-117.08012199999722,10,20,Ap,5.93,Ap-A,7.32,Ap-A,6.24
39,46.77911199993587,-117.08012199999722,20,30,Ap,7.55,A,6.43,A,7.02
39,46.77911199993587,-117.08012199999722,30,38,A,7.52,A,6.67,,
39,46.77911199993587,-117.08012199999722,38,54,Btk1,7.73,Btk1,7.25,,
39,46.77911199993587,-117.08012199999722,54,78,Btk2,7.75,Btk2,7.43,Btk2,7.81
39,46.77911199993587,-117.08012199999722,78,123,Btb1,7.09,Btb1,7.56,Btb1,8.06
39,46.77911199993587,-117.08012199999722,123,153,Btb2,7.02,Btb2,7.34,Btb2,7.9
39,46.77911199993587,-117.08012199999722,30,35,,,,,A,6.74
39,46.77911199993587,-117.08012199999722,35,54,,,,,Btk1,7.46
41,46.77904699992864,-117.0792860000058,0,10,Ap,5.32,Ap,4.58,Ap,4.75
41,46.77904699992864,-117.0792860000058,10,20,A,5.44,Ap-A,5.1,Ap-A,5.15
41,46.77904699992864,-117.0792860000058,20,30,A,6.24,A-AB,6.33,A-AB,6.17
41,46.77904699992864,-117.0792860000058,30,66,AB,6.48,AB,6.26,AB,6.61
41,46.77904699992864,-117.0792860000058,66,105,Bw,6.55,Bw,6.6,Bw,6.99
41,46.77904699992864,-117.0792860000058,105,153,Btb,6.33,Btb,6.49,Btb,6.99
43,46.77915299992836,-117.08831800000448,0,10,Ap,5.03,Ap,4.55,Ap,4.55
43,46.77915299992836,-117.08831800000448,10,20,Ap,5.15,Ap-A1,5.03,Ap-A1,4.54
43,46.77915299992836,-117.08831800000448,20,30,Ap,5.15,A1,5.55,A1,5.11
43,46.77915299992836,-117.08831800000448,30,36,A1,4.94,A1,5.2,A1,5.48
43,46.77915299992836,-117.08831800000448,36,68,A2,5.05,A2,5.46,A2,5.97
43,46.77915299992836,-117.08831800000448,68,89,BE,5.22,BE,5.66,BE,6.19
43,46.77915299992836,-117.08831800000448,89,119,EB,5.44,EB,5.88,EB,6.38
43,46.77915299992836,-117.08831800000448,119,153,E,5.94,E,6.36,E,7.32
45,46.779288328247844,-117.08746351328648,0,10,Ap,5.37,Ap,4.97,Ap,4.85
